City,State,Country
São Paulo, State of São Paulo, Brazil
NA,NA,NA
Pittsburgh, Pennsylvania, United States
Singapore,NA, Singapore
Delhi, Delhi, India
Kolkata, West Bengal, India
Bucharest, Bucharest, Romania
Madrid, Community of Madrid, Spain
Rio de Janeiro, State of Rio de Janeiro, Brazil
Sydney, New South Wales, Australia
Varkala, Kerala, India
Jaipur, Rajasthan, India
Chennai, Tamil Nadu, India
NA,NA,NA
Mumbai, Maharashtra, India
Austin, Texas, United States
Amman, Amman Governorate, Jordan
Washington, District of Columbia, United States
Vilnius, Vilnius County, Lithuania
Pune, Maharashtra, India
San Diego, California, United States
San Francisco, California, United States
Princeton, New Jersey, United States
İstanbul, İstanbul, Turkey
Stavanger, Rogaland, Norway
Bengaluru, Karnataka, India
Orvault, Pays de la Loire, France
Melbourne, Victoria, Australia
Chennai, Tamil Nadu, India
Pune, Maharashtra, India
Greencastle, Indiana, United States
NA,NA,NA
Karachi, Sindh, Pakistan
Philadelphia, Pennsylvania, United States
Bengaluru, Karnataka, India
Seattle, Washington, United States
Lahore, Punjab, Pakistan
Delhi, Delhi, India
Sydney, New South Wales, Australia
Cleveland, Ohio, United States
Hyderabad, Telangana, India
Haarlem, North Holland, Netherlands
Dhaka, Dhaka Division, Bangladesh
Moscow,NA, Russia
Ahmedabad, Gujarat, India
Wellington, Wellington, New Zealand
Osaka, Osaka, Japan
NA,NA,NA
Bangkok, Bangkok, Thailand
NA,NA,United Kingdom
Dhaka, Dhaka Division, Bangladesh
Ahmedabad, Gujarat, India
Bucharest, Bucharest, Romania
Sohawa, Punjab, Pakistan
Portland, Oregon, United States
NA,NA,NA
Bahawalpur, Punjab, Pakistan
Bengaluru, Karnataka, India
Manila, Metro Manila, Philippines
İstanbul, İstanbul, Turkey
Burichang, Chittagong Division, Bangladesh
Scottsdale, Arizona, United States
Greater Noida, Uttar Pradesh, India
Baltimore, Maryland, United States
Fort Worth, Texas, United States
Golden, Colorado, United States
Iloilo City, Western Visayas, Philippines
Hyderabad, Telangana, India
Abu Dhabi, Abu Dhabi, United Arab Emirates
Windsor, Ontario, Canada
Mumbai, Maharashtra, India
Cork, County Cork, Ireland
Boston, Massachusetts, United States
Kayseri, Kayseri, Turkey
Lviv, Lviv Oblast, Ukraine
Pune, Maharashtra, India
Pisa, Tuscany, Italy
Tehran, Tehran Province, Iran
Dallas, Texas, United States
Mashhad, Razavi Khorasan Province, Iran
NA,NA,NA
Mumbai, Maharashtra, India
Dhaka, Dhaka Division, Bangladesh
Dubai, Dubai, United Arab Emirates
New Delhi, Delhi, India
London, Ontario, Canada
Amreli, Gujarat, India
London, Ontario, Canada
Konya, Konya, Turkey
London, England, United Kingdom
Charlotte, North Carolina, United States
NA,NA,NA
Gurugram, Haryana, India
NA,NA,NA
NA,NA,NA
Navi Mumbai, Maharashtra, India
Bhopal, Madhya Pradesh, India
NA,NA,NA
Bengaluru, Karnataka, India
Florida City, Florida, United States
Greenville, South Carolina, United States
Gdańsk, Pomeranian Voivodeship, Poland
Hyderabad, Telangana, India
Katihar, Bihar, India
Dubai, Dubai, United Arab Emirates
San Francisco, California, United States
Tokyo, Tokyo, Japan
Moscow,NA, Russia
Bengaluru, Karnataka, India
Alexandria, Virginia, United States
Rotterdam, South Holland, Netherlands
Islamabad, Islamabad Capital Territory, Pakistan
İstanbul, İstanbul, Turkey
Waterloo, Ontario, Canada
Rio de Janeiro, State of Rio de Janeiro, Brazil
Salt Lake City, Utah, United States
Hyderabad, Telangana, India
Hangu, Khyber Pakhtunkhwa, Pakistan
Chennai, Tamil Nadu, India
Ranchi, Jharkhand, India
Lahore, Punjab, Pakistan
San Francisco, California, United States
New York, New York, United States
Buenos Aires, Buenos Aires, Argentina
Vinnytsia, Vinnytsia Oblast, Ukraine
Barisal Division,NA, Bangladesh
Passau, Bavaria, Germany
Kolkata, West Bengal, India
Jakarta, Jakarta, Indonesia
Amsterdam, North Holland, Netherlands
Pune, Maharashtra, India
İstanbul, İstanbul, Turkey
New Delhi, Delhi, India
Akola, Maharashtra, India
Kasaragod, Kerala, India
NA,NA,NA
Los Angeles, California, United States
Mumbai, Maharashtra, India
Bahawalpur, Punjab, Pakistan
Chennai, Tamil Nadu, India
Dhaka, Dhaka Division, Bangladesh
Istanbul, Istanbul, Turkey
Hyderabad, Telangana, India
Ernakulam, Kerala, India
İstanbul, İstanbul, Turkey
Bhopal, Madhya Pradesh, India
NA,NA,NA
Philadelphia, Pennsylvania, United States
New Delhi, Delhi, India
New Delhi, Delhi, India
Shiraz, Fars Province, Iran
New Delhi, Delhi, India
Tehran, Tehran Province, Iran
Manila, Metro Manila, Philippines
Paris, Île-de-France, France
Chicago, Illinois, United States
Berlin, Berlin, Germany
Dubai, Dubai, United Arab Emirates
Gurugram, Haryana, India
Taunsa, Punjab, Pakistan
Hamedan, Hamadan Province, Iran
Patiala, Punjab, India
Berlin, Berlin, Germany
Bengaluru, Karnataka, India
NA,NA,NA
NA,NA,NA
Bengaluru, Karnataka, India
Nantes, Pays de la Loire, France
Gurugram, Haryana, India
Delhi, Delhi, India
San Francisco, California, United States
Saint Petersburg,NA, Russia
Lexington, South Carolina, United States
Manchester, England, United Kingdom
Bengaluru, Karnataka, India
Yazd, Yazd Province, Iran
Charlotte, North Carolina, United States
Aydın, Aydın, Turkey
Valencia, Valencian Community, Spain
NA,NA,NA
NA,NA,Singapore
Santa Clarita, California, United States
Ghaziabad, Uttar Pradesh, India
Baghdad, Baghdad Governorate, Iraq
Mandi, Himachal Pradesh, India
Chandigarh, Chandigarh, India
Campinas, State of São Paulo, Brazil
Noida, Uttar Pradesh, India
Shahrbabak, Kerman Province, Iran
Gurugram, Haryana, India
Pune, Maharashtra, India
Colombo, Western Province, Sri Lanka
Fukuoka, Fukuoka, Japan
Chennai, Tamil Nadu, India
Bengaluru, Karnataka, India
Thane, Maharashtra, India
Tangier, Tangier-Tétouan-Al Hoceima, Morocco
Warangal, Telangana, India
Buffalo, Minnesota, United States
Chandannagar, West Bengal, India
Tokyo, Tokyo, Japan
Abu Dhabi, Abu Dhabi, United Arab Emirates
Aracaju, State of Sergipe, Brazil
Rio Grande, State of Rio Grande do Sul, Brazil
Madrid, Community of Madrid, Spain
Mumbai, Maharashtra, India
Jaipur, Rajasthan, India
Delhi, Delhi, India
Cumilla, Chittagong Division, Bangladesh
Bengaluru, Karnataka, India
Charlotte, North Carolina, United States
Thiruvananthapuram, Kerala, India
Halifax, Nova Scotia, Canada
Toronto, Ontario, Canada
San Francisco, California, United States
Singapore,NA, Singapore
Guelph, Ontario, Canada
Dubai, Dubai, United Arab Emirates
Menlo Park, California, United States
Hamburg, Hamburg, Germany
Cairo, Cairo Governorate, Egypt
Gurugram, Haryana, India
Lausanne, Vaud, Switzerland
Santa Clara, California, United States
NA,NA,NA
Gomel, Gomel Region, Belarus
Selangor,NA, Malaysia
Chennai, Tamil Nadu, India
NA,NA,NA
Kyiv,NA, Ukraine
Honolulu, Hawaii, United States
Moscow,NA, Russia
Pune, Maharashtra, India
Raipur, Chhattisgarh, India
Singapore,NA, Singapore
Shibuya City, Tokyo, Japan
NA,NA,NA
Bengaluru, Karnataka, India
San Francisco, California, United States
İstanbul, İstanbul, Turkey
Ankara, Ankara, Turkey
Surat, Gujarat, India
Mumbai, Maharashtra, India
Prague, Prague, Czechia
Lagos, Lagos, Nigeria
Kuwait City, Al Asimah Governate, Kuwait
Paris, Île-de-France, France
Tel Aviv-Yafo, Tel Aviv District, Israel
Dhaka, Dhaka Division, Bangladesh
Mandalay, Mandalay Region, Myanmar (Burma)
Budapest,NA, Hungary
Delhi, Delhi, India
Bengaluru, Karnataka, India
Vinnytsia, Vinnytsia Oblast, Ukraine
San Francisco, California, United States
Bhubaneswar, Odisha, India
Bengaluru, Karnataka, India
Bengaluru, Karnataka, India
Seoul, Seoul, South Korea
Saint Petersburg,NA, Russia
Nagpur, Maharashtra, India
NA,NA,NA
Paris, Île-de-France, France
Ottawa, Ontario, Canada
Warsaw, Masovian Voivodeship, Poland
Surat, Gujarat, India
Ahmedabad, Gujarat, India
NA,NA,NA
Dhaka, Dhaka Division, Bangladesh
Pune, Maharashtra, India
Petaling Jaya, Selangor, Malaysia
Baton Rouge, Louisiana, United States
Kulmbach, Bavaria, Germany
Antalya, Antalya, Turkey
Franca, State of São Paulo, Brazil
Chicago, Illinois, United States
NA,NA,NA
Thiruvananthapuram, Kerala, India
Tallinn, Harju County, Estonia
Barcelona, Catalonia, Spain
Abadan, Khuzestan Province, Iran
Rostock, Mecklenburg-Vorpommern, Germany
London, England, United Kingdom
Bengaluru, Karnataka, India
Bengaluru, Karnataka, India
NA,NA,NA
Bengaluru, Karnataka, India
El-Mahalla El-Kubra, Gharbia Governorate, Egypt
Dubai, Dubai, United Arab Emirates
Bengaluru, Karnataka, India
Stanford, California, United States
Thiruvalla, Kerala, India
Bengaluru, Karnataka, India
Coimbatore, Tamil Nadu, India
Kobe, Hyogo, Japan
Kraków, Lesser Poland Voivodeship, Poland
Kobe, Hyogo, Japan
Thiruvananthapuram, Kerala, India
Lahore, Punjab, Pakistan
Tel Aviv-Yafo, Tel Aviv District, Israel
Seattle, Washington, United States
Campina Grande, State of Paraíba, Brazil
Gaithersburg, Maryland, United States
NA,NA,NA
Santiago, Santiago Metropolitan Region, Chile
Seoul, Seoul, South Korea
Visakhapatnam, Andhra Pradesh, India
New Delhi, Delhi, India
Sacramento, California, United States
Bengaluru, Karnataka, India
Kyiv,NA, Ukraine
Colombo, Western Province, Sri Lanka
Raipur, Chhattisgarh, India
Quetta, Balochistan, Pakistan
Patiala, Punjab, India
Peravali, Andhra Pradesh, India
NA,NA,NA
Los Angeles, California, United States
Islamabad, Islamabad Capital Territory, Pakistan
Gurugram, Haryana, India
Fortaleza, State of Ceará, Brazil
Islamabad, Islamabad Capital Territory, Pakistan
Greater Noida, Uttar Pradesh, India
NA,NA,NA
Bengaluru, Karnataka, India
Guangzhou, Guangdong Province, China
Islamabad, Islamabad Capital Territory, Pakistan
Thrissur, Kerala, India
Feni, Chittagong Division, Bangladesh
Kawasaki, Kanagawa, Japan
London, England, United Kingdom
Bahawalpur, Punjab, Pakistan
Sohawa, Punjab, Pakistan
Howrah, West Bengal, India
Lahore, Punjab, Pakistan
Farrukhabad, Uttar Pradesh, India
Pune, Maharashtra, India
Liverpool, England, United Kingdom
Hwaseong-si, Gyeonggi-do, South Korea
Surat, Gujarat, India
Maroua, Far North, Cameroon
NA,NA,Muzaffarabad
Bengaluru, Karnataka, India
Karachi, Sindh, Pakistan
NA,NA,NA
Guangzhou, Guangdong Province, China
Chandigarh, Chandigarh, India
Lahore, Punjab, Pakistan
Curitiba, State of Paraná, Brazil
Chennai, Tamil Nadu, India
İzmir, İzmir, Turkey
Dresden, Saxony, Germany
Islamabad, Islamabad Capital Territory, Pakistan
Zhukovskiy, Moscow Oblast, Russia
Al-Malikiyah, Al-Hasakah Governorate, Syria
Kaithal, Haryana, India
Maroua, Far North, Cameroon
Rolla, Missouri, United States
Chennai, Tamil Nadu, India
Marseille, Provence-Alpes-Côte d'Azur, France
NA,NA,NA
Bahawalpur, Punjab, Pakistan
Kochi, Kerala, India
Seoul, Seoul, South Korea
Mumbai, Maharashtra, India
Winnipeg, Manitoba, Canada
Bilaspur, Chhattisgarh, India
Ahmedabad, Gujarat, India
Thonnakkal, Kerala, India
Shanghai, Shanghai, China
Gandhinagar, Gujarat, India
NA,NA,NA
Gainesville, Florida, United States
Cairo, Cairo Governorate, Egypt
Karachi, Sindh, Pakistan
NA,NA,NA
San Francisco, California, United States
Chiang Mai, Chiang Mai, Thailand
San Francisco, California, United States
Campinas, State of São Paulo, Brazil
Bengaluru, Karnataka, India
Fukuoka, Fukuoka, Japan
Delhi, Delhi, India
Varanasi, Uttar Pradesh, India
Mumbai, Maharashtra, India
Tanuku, Andhra Pradesh, India
NA,NA,NA
Tel Aviv-Yafo, Tel Aviv District, Israel
NA,NA,NA
Okinawa, Okinawa, Japan
Halden, Viken, Norway
Gharo, Sindh, Pakistan
Gurugram, Haryana, India
St Andrews, Scotland, United Kingdom
Mumbai, Maharashtra, India
Boston, Massachusetts, United States
Pune, Maharashtra, India
Punjab,NA, Pakistan
Tokyo, Tokyo, Japan
Surat, Gujarat, India
NA,NA,NA
Gurugram, Haryana, India
Montreal, Quebec, Canada
NA,NA,NA
Bengaluru, Karnataka, India
Manila, Metro Manila, Philippines
Bhimavaram, Andhra Pradesh, India
Saint Petersburg,NA, Russia
İstanbul, İstanbul, Turkey
Kolkata, West Bengal, India
Aarhus,NA, Denmark
Lucknow, Uttar Pradesh, India
Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia
Mumbai, Maharashtra, India
Orlando, Florida, United States
Rajkot, Gujarat, India
Bhopal, Madhya Pradesh, India
Kolkata, West Bengal, India
İstanbul, İstanbul, Turkey
NA,NA,NA
Battle Mountain, Nevada, United States
Bengaluru, Karnataka, India
Kolkata, West Bengal, India
Suwon-si, Gyeonggi-do, South Korea
NA,NA,NA
Madurai, Tamil Nadu, India
Mumbai, Maharashtra, India
Seoul, Seoul, South Korea
Jodhpur, Rajasthan, India
NA,NA,NA
Osaka, Osaka, Japan
Nanchong, Sichuan, China
Tokyo, Tokyo, Japan
London, England, United Kingdom
Seoul, Seoul, South Korea
Bordeaux, Nouvelle-Aquitaine, France
Budapest,NA, Hungary
Athens,NA, Greece
Navi Mumbai, Maharashtra, India
Seoul, Seoul, South Korea
Seoul, Seoul, South Korea
Hafizabad, Punjab, Pakistan
Bengaluru, Karnataka, India
Rome, Lazio, Italy
College Park, Maryland, United States
Sofia, Sofia City Province, Bulgaria
Austin, Texas, United States
Nijmegen, Gelderland, Netherlands
Ahmedabad, Gujarat, India
Gassaway, West Virginia, United States
Nanded, Maharashtra, India
Gurugram, Haryana, India
Pune, Maharashtra, India
Cairo, Cairo Governorate, Egypt
Chennai, Tamil Nadu, India
Coimbatore, Tamil Nadu, India
Raipur, Chhattisgarh, India
Chennai, Tamil Nadu, India
Nagpur, Maharashtra, India
Indore, Madhya Pradesh, India
NA,NA,NA
Paris, Île-de-France, France
Greater Noida, Uttar Pradesh, India
Gurugram, Haryana, India
Islamabad, Islamabad Capital Territory, Pakistan
NA,NA,NA
Karachi, Sindh, Pakistan
Lucknow, Uttar Pradesh, India
Dhaka, Dhaka Division, Bangladesh
Amsterdam, North Holland, Netherlands
New Delhi, Delhi, India
Pune, Maharashtra, India
Chicago, Illinois, United States
Ahmedabad, Gujarat, India
Tiruppur, Tamil Nadu, India
Ottawa, Ontario, Canada
Atlanta, Georgia, United States
NA,NA,NA
Hyderabad, Telangana, India
Pune, Maharashtra, India
Varanasi, Uttar Pradesh, India
Mumbai, Maharashtra, India
Chennai, Tamil Nadu, India
Ankara, Ankara, Turkey
Thiruvananthapuram, Kerala, India
6th of October City, Giza Governorate, Egypt
NA,NA,NA
Moscow,NA, Russia
São Paulo, State of São Paulo, Brazil
NA,NA,Jammu
Bengaluru, Karnataka, India
NA,NA,NA
Ho Chi Minh City, Ho Chi Minh City, Vietnam
Kolkata, West Bengal, India
Kolkata, West Bengal, India
Sydney, New South Wales, Australia
Nakhon Ratchasima,NA, Thailand
Moradabad, Uttar Pradesh, India
Charlotte, North Carolina, United States
New Delhi, Delhi, India
Kanpur, Uttar Pradesh, India
Los Angeles, California, United States
Bengaluru, Karnataka, India
Santiago, Santiago Metropolitan Region, Chile
Rawalpindi, Punjab, Pakistan
Tehran, Tehran Province, Iran
Sadiqabad, Punjab, Pakistan
Haldwani, Uttarakhand, India
Portland, Oregon, United States
Bengaluru, Karnataka, India
Budapest,NA, Hungary
Bengaluru, Karnataka, India
Santiago, Santiago Metropolitan Region, Chile
Bengaluru, Karnataka, India
Gothenburg, Västra Götaland County, Sweden
Irvine, California, United States
New Delhi, Delhi, India
Lucknow, Uttar Pradesh, India
Coimbatore, Tamil Nadu, India
Tunis, Tunis, Tunisia
Hawally, Hawalli Governorate, Kuwait
Meerut, Uttar Pradesh, India
Ludhiana, Punjab, India
Ankara, Ankara, Turkey
NA,NA,NA
Tabriz, East Azerbaijan Province, Iran
Srikakulam, Andhra Pradesh, India
NA,NA,NA
Kyiv,NA, Ukraine
NA,NA,NA
İstanbul, Istanbul, Turkey
Burhanpur, Madhya Pradesh, India
Bengaluru, Karnataka, India
NA,NA,NA
Nagpur, Maharashtra, India
Bogor, West Java, Indonesia
Kolkata, West Bengal, India
NA,NA,NA
Thiruvananthapuram, Kerala, India
Bahawalpur, Punjab, Pakistan
Rome, Lazio, Italy
Los Angeles, California, United States
Bengaluru, Karnataka, India
Delhi, Delhi, India
Paris, Île-de-France, France
Chennai, Tamil Nadu, India
Jaipur, Rajasthan, India
Hyderabad, Telangana, India
Zhuhai, Guangdong Province, China
NA,NA,NA
NA,NA,NA
Seoul, Seoul, South Korea
London, England, United Kingdom
Munich, Bavaria, Germany
NA,NA,NA
Bengaluru, Karnataka, India
Kazan, Republic of Tatarstan, Russia
Bengaluru, Karnataka, India
Kolkata, West Bengal, India
Mumbai, Maharashtra, India
Mumbai, Maharashtra, India
Kafr El-Shaikh, Gharbia Governorate, Egypt
Feni, Chittagong Division, Bangladesh
NA,NA,NA
Nagpur, Maharashtra, India
NA,NA,NA
Pune, Maharashtra, India
NA,NA,NA
Bhilai, Chhattisgarh, India
London, England, United Kingdom
Barcelona, Catalonia, Spain
Pune, Maharashtra, India
Moscow,NA, Russia
Vadodara, Gujarat, India
Mangalore, Karnataka, India
Karachi, Sindh, Pakistan
Surat, Gujarat, India
Amaravati, Andhra Pradesh, India
Montevideo, Montevideo Department, Uruguay
Moscow,NA, Russia
Naya Raipur, Chhattisgarh, India
Khulna, Khulna Division, Bangladesh
NA,NA,NA
London, England, United Kingdom
Parma, Emilia-Romagna, Italy
NA,NA,NA
NA,NA,NA
İstanbul, İstanbul, Turkey
NA,NA,NA
NA,NA,NA
Boston, Massachusetts, United States
NA,NA,NA
Kharkiv, Kharkiv Oblast, Ukraine
Mumbai, Maharashtra, India
Anyang, Gyeonggi-do, South Korea
Chennai, Tamil Nadu, India
Minsk, Minsk Region, Belarus
Mumbai, Maharashtra, India
Tokyo, Tokyo, Japan
Shanghai, Shanghai, China
New Delhi, Delhi, India
Phagwara, Punjab, India
Surabaya, East Java, Indonesia
Kyiv,NA, Ukraine
İstanbul, İstanbul, Turkey
Pune, Maharashtra, India
Mumbai, Maharashtra, India
Jaipur, Rajasthan, India
Islamabad, Islamabad Capital Territory, Pakistan
NA,NA,NA
Cairo, Cairo Governorate, Egypt
Bahawalpur, Punjab, Pakistan
Amman, Amman Governorate, Jordan
Hangzhou, Zhejiang, China
New York, New York, United States
NA,NA,France
Vijayawada, Andhra Pradesh, India
Eindhoven, North Brabant, Netherlands
Canterbury, England, United Kingdom
Tel Aviv-Yafo, Tel Aviv District, Israel
Mumbai, Maharashtra, India
Tunis, Tunis, Tunisia
Baku,NA, Azerbaijan
Bristol, England, United Kingdom
Gurugram, Haryana, India
Chennai, Tamil Nadu, India
Milan, Lombardy, Italy
NA,NA,NA
Mumbai, Maharashtra, India
Nagpur, Maharashtra, India
Kolkata, West Bengal, India
Prayagraj, Uttar Pradesh, India
Tiruppur, Tamil Nadu, India
Minneapolis, Minnesota, United States
Jaipur, Rajasthan, India
Rajkot, Gujarat, India
Tehran, Tehran Province, Iran
Faridabad, Haryana, India
Curitiba, State of Paraná, Brazil
Cairo, Cairo Governorate, Egypt
Bengaluru, Karnataka, India
Mumbai, Maharashtra, India
Howrah, West Bengal, India
Brussels, Brussels, Belgium
Pau, Nouvelle-Aquitaine, France
Dehradun, Uttarakhand, India
Thiruvananthapuram, Kerala, India
Vadodara, Gujarat, India
NA,NA,NA
Mirandópolis, State of São Paulo, Brazil
NA,NA,NA
Ahmedabad, Gujarat, India
NA,NA,NA
NA,NA,NA
Dubai, Dubai, United Arab Emirates
NA,NA,NA
San Diego, California, United States
Jersey City, New Jersey, United States
İstanbul, Istanbul, Turkey
Paris, Île-de-France, France
Casteldelfino, Piedmont, Italy
Cairo, Cairo Governorate, Egypt
Beijing, Beijing, China
Brisbane, Queensland, Australia
NA,NA,NA
Tel Aviv-Yafo, Tel Aviv District, Israel
Tokyo, Tokyo, Japan
Warsaw, Masovian Voivodeship, Poland
NA,NA,NA
Oslo, Oslo, Norway
Amsterdam, North Holland, Netherlands
Mumbai, Maharashtra, India
NA,NA,NA
Thane, Maharashtra, India
Melbourne, Victoria, Australia
Bareilly, Uttar Pradesh, India
Boston, Massachusetts, United States
NA,NA,Katra
Thane, Maharashtra, India
Chennai, Tamil Nadu, India
Mumbai, Maharashtra, India
Gujrat, Punjab, Pakistan
Polatsk, Vitebsk Region, Belarus
Mumbai, Maharashtra, India
Peravali, Andhra Pradesh, India
Surat, Gujarat, India
Bahawalpur, Punjab, Pakistan
Taxila, Punjab, Pakistan
Dubai, Dubai, United Arab Emirates
Chennai, Tamil Nadu, India
